Version,ImageSource,GpsStatus,AltitudeType,GpsLatitude,GpsLongitude,AbsoluteAltitude,RelativeAltitude,GimbalRollDegree,GimbalYawDegree,GimbalPitchDegree,FlightRollDegree,FlightYawDegree,FlightPitchDegree,FlightXSpeed,FlightYSpeed,FlightZSpeed,CamReverse,GimbalReverse,SelfData,RtkFlag,RtkStdLon,RtkStdLat,RtkStdHgt,RtkDiffAge,NTRIPMountPoint,NTRIPPort,NTRIPHost,SurveyingMode,DewarpFlag,DewarpData,CalibratedFocalLength,CalibratedOpticalCenterX,CalibratedOpticalCenterY,UTCAtExposure,ShutterType,CameraSerialNumber,DroneModel,DroneSerialNumber,CaptureUUID,RelativeOpticalCenterX,RelativeOpticalCenterY,DewarpHMatrix,CalibratedHMatrix,VignettingFlag,VignettingData,LS_type,LS_status,Package_idx,Cfg_cnt,RawData,BandName,BandFreq,Irradiance,SensorGain,ExposureTime,SensorGainAdjustment,SensorIndex,BlackLevel,DroneID,RigCameraIndex,img_id
1.6,MS_R_CAMERA,RTK,RtkAlt,-36.805535335,+174.739759109,+94.530,+50.370,+0.00,+97.90,-89.90,+6.10,+97.90,+2.20,-0.6,4.4,0.0,0,0,,50,0.01209,0.01157,0.02462,1.80000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2185.320068359375,2188.100097656250,3.239990234375,-21.327026367188,0.005409639794,-0.041799500585,-0.001311820000,-0.001172650023,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:38:25.776511,Electronic,5J2O3ARRC7L0CC,M3M,1581F5FKD238100D5238,c2364e4fa1c448adb9985322ea5a5abc,25.270020,5.766968,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.922707e-01,1.418118e-02,-8.510752e+00,-1.547667e-02,9.896930e-01,5.574044e+01,1.762008e-07,-1.117101e-06,1.000000e+00",0,"-0.000130952, 1.701803e-06, -4.943783e-09, 7.963970e-12, -5.783830e-15, 1.597196e-18",1,2,245,1,14374.000 12223.000 14405.000 12635.000,Red,650(+/-16)nm,18121.521,1.575,1953,0.571341,2,3200,1581F5FKD238100D5238,2,20250919113806_0060
1.6,MS_RE_CAMERA,RTK,RtkAlt,-36.805521950,+174.737753203,+97.637,+53.462,+0.00,+86.10,-45.00,+7.00,+85.90,-1.30,0.2,4.4,0.2,0,0,,50,0.01211,0.01174,0.02464,1.20000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2190.280029296875,2193.790039062500,8.489990234375,2.867980957031,0.009405629709,-0.046353500336,-0.001809429959,-0.000621274987,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:41:22.189950,Electronic,5J3O3AREC7L09V,M3M,1581F5FKD238100D5238,64ffb824857048afbe9382e974725c0b,30.520020,29.961975,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.886557e-01,1.059631e-02,-6.073367e+00,-1.313557e-02,9.853198e-01,3.568872e+01,-7.070796e-08,-1.889613e-06,1.000000e+00",0,"-0.000102463, 1.435802e-06, -4.019951e-09, 6.727129e-12, -5.008908e-15, 1.409827e-18",1,2,167,1,13755.000 11671.000 13682.000 12004.000,RedEdge,730(+/-16)nm,14500.918,1.874,1953,0.759301,3,3200,1581F5FKD238100D5238,3,20250919114103_0143
1.6,MS_R_CAMERA,RTK,RtkAlt,-36.805506692,+174.737572545,+98.828,+54.670,+0.00,+97.90,-89.90,+3.30,+98.10,-0.30,-0.6,4.3,0.2,0,0,,50,0.01216,0.01160,0.02481,1.80000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2185.320068359375,2188.100097656250,3.239990234375,-21.327026367188,0.005409639794,-0.041799500585,-0.001311820000,-0.001172650023,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:39:59.695812,Electronic,5J2O3ARRC7L0CC,M3M,1581F5FKD238100D5238,58aa16045b4b436fbda89c4fbd48f8f8,25.270020,5.766968,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.922707e-01,1.418118e-02,-8.510752e+00,-1.547667e-02,9.896930e-01,5.574044e+01,1.762008e-07,-1.117101e-06,1.000000e+00",0,"-0.000130952, 1.701803e-06, -4.943783e-09, 7.963970e-12, -5.783830e-15, 1.597196e-18",1,2,220,1,14698.000 12508.000 14697.000 12883.000,Red,650(+/-16)nm,17455.672,2.265,1953,0.571341,2,3200,1581F5FKD238100D5238,2,20250919113940_0106
1.6,MS_G_CAMERA,RTK,RtkAlt,-36.805250804,+174.738186253,+105.269,+61.097,+0.00,-82.70,-89.90,-9.70,-82.00,-6.70,0.5,-4.2,-0.4,0,0,,50,0.01225,0.01178,0.02478,1.20000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2181.139892578125,2183.000000000000,10.550048828125,2.455017089844,0.007797109894,-0.043786898255,-0.001427249983,-0.000858979009,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:39:25.001847,Electronic,5HZO3AGGC630DE,M3M,1581F5FKD238100D5238,df0fe7c9c1644579bd06f172ae166b68,32.580078,29.549011,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.922765e-01,1.110543e-02,-1.126713e+01,-1.325014e-02,9.908519e-01,2.789460e+01,-5.049450e-07,-1.265397e-06,1.000000e+00",0,"-0.000151862, 1.791861e-06, -5.125924e-09, 8.050445e-12, -5.708480e-15, 1.538213e-18",1,2,135,1,13949.000 11853.000 13644.000 11894.000,Green,560(+/-16)nm,20727.326,1.853,1953,0.512913,1,3200,1581F5FKD238100D5238,1,20250919113906_0089
1.6,MS_NIR_CAMERA,RTK,RtkAlt,-36.805494196,+174.738438156,+96.133,+51.993,+0.00,-82.70,-89.90,-11.10,-82.00,-9.00,0.6,-4.3,-0.4,0,0,,50,0.01225,0.01174,0.02486,1.20000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2205.260009765625,2206.780029296875,-22.030029296875,-27.093994140625,0.005586800165,-0.039736099541,-0.001695959945,-0.000788366015,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:37:06.158973,Electronic,5J4O3AIRC3Q0AG,M3M,1581F5FKD238100D5238,7e3d2c89a6f94732bf62b8e17b02324c,0.000000,0.000000,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.867841e-01,2.693946e-02,6.325290e+00,-2.707129e-02,9.824314e-01,8.612610e+01,1.769609e-06,-1.422967e-06,1.000000e+00",0,"-0.000015943, 1.333366e-06, -3.821700e-09, 6.403690e-12, -4.773525e-15, 1.338004e-18",1,2,50,1,14247.000 12125.000 13969.000 12225.000,NIR,860(+/-26)nm,14208.620,1.000,1724,0.917817,4,3200,1581F5FKD238100D5238,4,20250919113647_0021
1.6,MS_G_CAMERA,RTK,RtkAlt,-36.805340195,+174.738989292,+98.865,+54.741,+0.00,-82.60,-89.90,-8.90,-81.90,-11.20,0.6,-4.3,-0.3,0,0,,50,0.01217,0.01159,0.02468,1.80000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2181.139892578125,2183.000000000000,10.550048828125,2.455017089844,0.007797109894,-0.043786898255,-0.001427249983,-0.000858979009,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:39:08.638603,Electronic,5HZO3AGGC630DE,M3M,1581F5FKD238100D5238,b9cbb2786a7c44aab9fffb4f1c87ca0e,32.580078,29.549011,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.922765e-01,1.110543e-02,-1.126713e+01,-1.325014e-02,9.908519e-01,2.789460e+01,-5.049450e-07,-1.265397e-06,1.000000e+00",0,"-0.000151862, 1.791861e-06, -5.125924e-09, 8.050445e-12, -5.708480e-15, 1.538213e-18",1,2,95,1,14270.000 12139.000 14000.000 12225.000,Green,560(+/-16)nm,20994.373,1.957,1953,0.512913,1,3200,1581F5FKD238100D5238,1,20250919113849_0081
1.6,MS_G_CAMERA,RTK,RtkAlt,-36.805438371,+174.737188178,+100.437,+56.272,+180.00,-20.60,-90.00,-9.10,+155.40,+0.30,-3.4,2.4,-0.1,0,0,,50,0.01208,0.01164,0.02461,1.60000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2181.139892578125,2183.000000000000,10.550048828125,2.455017089844,0.007797109894,-0.043786898255,-0.001427249983,-0.000858979009,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:39:51.559852,Electronic,5HZO3AGGC630DE,M3M,1581F5FKD238100D5238,cc5ff4d486fd4f78be3d91499fb164d0,32.580078,29.549011,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.922765e-01,1.110543e-02,-1.126713e+01,-1.325014e-02,9.908519e-01,2.789460e+01,-5.049450e-07,-1.265397e-06,1.000000e+00",0,"-0.000151862, 1.791861e-06, -5.125924e-09, 8.050445e-12, -5.708480e-15, 1.538213e-18",1,2,200,1,19226.000 16491.000 19328.000 16963.000,Green,560(+/-16)nm,20834.957,1.550,1953,0.512913,1,3200,1581F5FKD238100D5238,1,20250919113932_0102
1.6,MS_NIR_CAMERA,RTK,RtkAlt,-36.805612652,+174.737546675,+99.470,+55.322,+180.00,+97.80,-90.00,-7.10,-82.00,-4.10,0.5,-4.3,-0.3,0,0,,50,0.01216,0.01172,0.02471,5.80000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2205.260009765625,2206.780029296875,-22.030029296875,-27.093994140625,0.005586800165,-0.039736099541,-0.001695959945,-0.000788366015,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:40:48.692928,Electronic,5J4O3AIRC3Q0AG,M3M,1581F5FKD238100D5238,5349b9c6db58472389db336750bbb66e,0.000000,0.000000,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.867841e-01,2.693946e-02,6.325290e+00,-2.707129e-02,9.824314e-01,8.612610e+01,1.769609e-06,-1.422967e-06,1.000000e+00",0,"-0.000015943, 1.333366e-06, -3.821700e-09, 6.403690e-12, -4.773525e-15, 1.338004e-18",1,2,84,1,14546.000 12366.000 14237.000 12409.000,NIR,860(+/-26)nm,13807.963,1.010,1381,0.917817,4,3200,1581F5FKD238100D5238,4,20250919114029_0130
1.6,MS_G_CAMERA,RTK,RtkAlt,-36.805563098,+174.738072918,+96.580,+52.412,+0.00,+97.90,-89.90,+4.00,+98.00,-1.20,-0.6,4.2,0.1,0,0,,50,0.01209,0.01164,0.02466,1.00000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2181.139892578125,2183.000000000000,10.550048828125,2.455017089844,0.007797109894,-0.043786898255,-0.001427249983,-0.000858979009,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:40:09.917400,Electronic,5HZO3AGGC630DE,M3M,1581F5FKD238100D5238,375d766dcc824469b2f5e8e643d6b5b1,32.580078,29.549011,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.922765e-01,1.110543e-02,-1.126713e+01,-1.325014e-02,9.908519e-01,2.789460e+01,-5.049450e-07,-1.265397e-06,1.000000e+00",0,"-0.000151862, 1.791861e-06, -5.125924e-09, 8.050445e-12, -5.708480e-15, 1.538213e-18",1,2,245,1,14218.000 12084.000 14201.000 12440.000,Green,560(+/-16)nm,20274.348,2.828,1953,0.512913,1,3200,1581F5FKD238100D5238,1,20250919113950_0111
1.6,MS_G_CAMERA,RTK,RtkAlt,-36.805535175,+174.737550528,+98.291,+54.100,+0.00,+86.10,-44.90,+2.20,+85.50,-1.00,0.2,4.3,0.1,0,0,,50,0.01212,0.01168,0.02466,1.20000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2181.139892578125,2183.000000000000,10.550048828125,2.455017089844,0.007797109894,-0.043786898255,-0.001427249983,-0.000858979009,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:41:18.055150,Electronic,5HZO3AGGC630DE,M3M,1581F5FKD238100D5238,c71f417bbd8d4085b7807b1287e39242,32.580078,29.549011,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.922765e-01,1.110543e-02,-1.126713e+01,-1.325014e-02,9.908519e-01,2.789460e+01,-5.049450e-07,-1.265397e-06,1.000000e+00",0,"-0.000151862, 1.791861e-06, -5.125924e-09, 8.050445e-12, -5.708480e-15, 1.538213e-18",1,2,156,1,14448.000 12284.000 14408.000 12646.000,Green,560(+/-16)nm,20451.236,2.417,1953,0.512913,1,3200,1581F5FKD238100D5238,1,20250919114059_0141
