Reserve(s),Band Combination,Maire Weight,Learning Rate,Loss Function,mIoU,Maire Precision,Maire Recall,Maire F1,Maire IoU,Num Reserves,Aggregation
KAU_ESK_BUS_HAM,IND_ABS,10,0.02,BCEDICE,0.5221236357932868,0.23363504349418193,0.20102139222309284,0.216104660027761,0.12114200915244377,4.0,micro
KAU_ESK_BUS_HAM,IND_ABS,1,0.02,DICE,0.3930188126168666,0.0870312011085771,0.472357511539156,0.14698130268814746,0.07931992577156546,4.0,micro
KAU_ESK_BUS_HAM,IND_ABS,50,0.02,BCEDICE,0.4331818652526406,0.11555218457304978,0.5165369708805858,0.18885618884215977,0.10427454240687306,4.0,micro
BUS,IND_REL,10,0.02,BCEDICE,0.6777014924832889,0.4850727641702931,0.9220550163481275,0.6357116698133669,0.4659657755237137,,
ESK,IND_REL,10,0.02,BCEDICE,0.588694463970877,0.35227992054656976,0.4018275072203964,0.3754259860195169,0.2310919556688336,,
HAM,IND_REL,10,0.02,BCEDICE,0.6158089388252228,0.2848676733235915,0.7958720798366976,0.4195611884976385,0.26547132697836284,,
KAU,IND_REL,10,0.02,BCEDICE,0.5345861348004434,0.8991596638655462,0.10185625892432175,0.18298418127404872,0.10070588235294117,,
KAU_ESK_BUS_HAM,MS_ABS,10,0.02,BCEDICE,0.5026186613392918,0.19627860305824268,0.10915067961399931,0.14028741467494904,0.07543500039821449,4.0,micro
KAU_ESK_BUS_HAM,MS_ABS,1,0.02,DICE,0.4926004171441118,0.1916269438149192,0.05949427741352074,0.09079842830858822,0.047558326707132656,4.0,micro
KAU_ESK_BUS_HAM,MS_ABS,50,0.02,BCEDICE,0.5016614554794847,0.17014480703941173,0.1489449455034997,0.15884062722808673,0.08627207127449231,4.0,micro
KAU_ESK_BUS_HAM,MS_ABS_RENDVI,10,0.02,BCEDICE,0.5066111439736865,0.2531471840983983,0.09732945964469031,0.14060096942681405,0.07561635314961758,4.0,micro
KAU_ESK_BUS_HAM,MS_ABS_RENDVI,1,0.02,DICE,0.4545984343011308,0.10538619960294418,0.31005683162189623,0.15730537235248726,0.08536703483148551,4.0,micro
